timestamp,sample_num,lc1,lc2,lc3,lc4
1757512330.353573,9975,-199936,-1848577,-93952,25855
1757512330.354483,9976,-201984,-3529473,-102400,25343
1757512330.355291,9977,-206336,-2638337,-100608,15359
1757512330.356321,9978,-213760,-3571457,-101120,28415
1757512330.357265,9979,-208896,-2207745,-101632,16127
1757512330.358228,9980,-204032,-2887169,-107008,17919
1757512330.359037,9981,-212736,-2144001,-107264,23807
1757512330.359963,9982,-209152,-3661057,-99072,30207
1757512330.360891,9983,-209664,-2079489,-100096,9471
1757512330.361809,9984,-216320,-2394625,-101120,18431
1757512330.362773,9985,-206336,-1872385,-95744,16895
1757512330.363672,9986,-203264,-2525953,-101376,21503
1757512330.364627,9987,-204288,-1912065,-103168,23295
1757512330.365447,9988,-208640,-3612673,-101888,23039
1757512330.366450,9989,-202240,-3340545,-104704,16383
1757512330.367377,9990,-228352,-1989121,-102656,24063
1757512330.368331,9991,-208384,-3476225,-100864,17407
1757512330.369159,9992,-211200,-2426369,-100608,20735
1757512330.370058,9993,-211968,-3111681,-103424,16127
1757512330.370975,9994,-215552,-1803265,-100864,27391
1757512330.371950,9995,-209920,-3178241,-100608,18687
1757512330.372851,9996,-207616,-1925377,-107520,20479
1757512330.373887,9997,-205824,-2722561,-99072,25343
1757512330.374789,9998,-206848,-1927681,-97536,14335
1757512330.375724,9999,-212224,-3019009,-97792,11263
1757512330.376638,10000,-215552,-1838337,-104448,18175
1757512330.377332,10001,-203264,-3456257,-98560,19967
1757512330.378424,10002,-207360,-4559361,-104192,17407
1757512330.379317,10003,-216832,-2053889,-101120,21759
1757512330.380320,10004,-216320,-3853825,-99584,19199
1757512330.381190,10005,-213248,-1911809,-100864,15103
1757512330.382010,10006,-209408,-2957313,-103680,23039
1757512330.382948,10007,-209920,-1920257,-101632,14591
1757512330.383906,10008,-207616,-3265281,-101632,26367
1757512330.384724,10009,-214784,-1945345,-102400,28927
1757512330.385670,10010,-207872,-2500097,-109312,23295
1757512330.386661,10011,-207872,-1911809,-98304,15103
1757512330.387588,10012,-207360,-2748161,-102656,17407
1757512330.388502,10013,-208384,-1906433,-91904,18175
1757512330.389342,10014,-203520,-3521793,-98816,29183
1757512330.390317,10015,-205824,-2274049,-101120,20991
1757512330.391269,10016,-209152,-3223297,-104192,14591
1757512330.392174,10017,-203776,-3445505,-98560,18943
1757512330.393039,10018,-212992,-3435265,-106240,22783
1757512330.393994,10019,-204032,-3056897,-102912,25599
1757512330.394944,10020,-211712,-3139329,-100608,25343
1757512330.395890,10021,-206848,-3345153,-107008,31231
1757512330.396748,10022,-219392,-2931201,-102144,12031
1757512330.397650,10023,-210432,-2601985,-100096,25343
1757512330.398711,10024,-212992,-2994177,-106752,17663
1757512330.399531,10025,-211456,-2673921,-103424,17663
1757512330.400445,10026,-215296,-2036737,-99840,18687
1757512330.401375,10027,-216832,-3875073,-98816,18175
1757512330.402208,10028,-215296,-7291649,-101632,21247
1757512330.403182,10029,-211712,-2778881,-104704,26623
1757512330.404003,10030,-209152,-4192001,-107008,20735
1757512330.405025,10031,-207616,-2925825,-102400,16383
1757512330.405829,10032,-206848,-3194113,-91904,17151
1757512330.406919,10033,-208896,-2969857,-100352,23295
1757512330.408005,10034,-222208,-4121089,-99072,14335
1757512330.408821,10035,-207616,-2602753,-104448,28159
1757512330.409731,10036,-206848,-2902273,-114432,16127
1757512330.410583,10037,-203520,-2561281,-106240,20991
1757512330.411428,10038,-206848,-3105025,-107520,26367
1757512330.412412,10039,-207616,-1811713,-98304,24831
1757512330.413336,10040,-210944,-3570945,-105728,15359
1757512330.414354,10041,-205312,-3759361,-106752,11519
1757512330.415082,10042,-211712,-3408385,-107264,24319
1757512330.416158,10043,-214272,-2073089,-106496,13055
1757512330.416971,10044,-211456,-3024129,-100352,26623
1757512330.417820,10045,-208640,-2007553,-102144,19967
1757512330.418795,10046,-211200,-3596289,-98816,19199
1757512330.419849,10047,-210688,-2194433,-104448,16127
1757512330.420692,10048,-213504,-2406913,-108544,22271
1757512330.421614,10049,-212224,-2066945,-106240,8191
1757512330.422485,10050,-211968,-2469121,-105472,19967
1757512330.423368,10051,-207872,-2246913,-103680,19711
1757512330.424486,10052,-209152,-3631105,-108032,25087
1757512330.425360,10053,-201984,-3419649,-103936,13567
1757512330.426199,10054,-198656,-2127873,-106752,18175
1757512330.427118,10055,-205824,-3689985,-104960,24831
1757512330.427941,10056,-209920,-1976065,-99328,19967
1757512330.428999,10057,-207872,-3193601,-101120,33535
1757512330.429951,10058,-214272,-1870849,-109824,30463
1757512330.430808,10059,-201984,-3172353,-102144,23039
1757512330.431645,10060,-209408,-1833985,-106240,19199
1757512330.432642,10061,-209664,-2453761,-107776,13055
1757512330.433681,10062,-211968,-1783041,-99584,27647
1757512330.434415,10063,-204032,-3007745,-109312,16895
1757512330.435397,10064,-208128,-1798657,-100864,19455
1757512330.436408,10065,-198912,-3567617,-102400,28159
1757512330.437389,10066,-205312,-4463873,-107264,15359
1757512330.438239,10067,-216832,-2599681,-104960,18175
1757512330.439108,10068,-204288,-3936513,-100608,18943
1757512330.439880,10069,-199936,-1820673,-107264,18175
1757512330.440823,10070,-222208,-3013633,-105728,26623
1757512330.441920,10071,-218368,-1908481,-99072,23295
1757512330.442715,10072,-208640,-3451137,-105216,29695
1757512330.443716,10073,-211200,-1727489,-106240,23039
1757512330.444501,10074,-220928,-2569985,-100352,29183
1757512330.445482,10075,-207616,-1871105,-104704,26111
1757512330.446529,10076,-211968,-2721537,-97536,17407
1757512330.447443,10077,-204032,-1879297,-107776,29439
1757512330.448163,10078,-209920,-3640065,-110848,27391
1757512330.449174,10079,-201728,-2777089,-97280,30207
1757512330.450147,10080,-215552,-3166721,-99584,20223
1757512330.451061,10081,-211968,-3636225,-98304,29695
